nama,address,phone,up,fax
Toko Jadi,Jl.Matraman Raya No 189 B,021- 8195626,Ibu Ria,8193675
Toko Karangan Bunga Jambi,,0811 6565 899,Fajaran Rahman,
Toko Kertas Pelangi,Jl. Bungur Besar Raya No.43C-D Senen Jakarta Pusat,021 420 6446,,
Toko Kimia 46,Jl. Gajah Mada No.46,021 6333 683,,
Toko Kue,,,,
Toko Lee Ching,Glodok Plaza F/50,021 649 1136,,
Toko Lina,LTC Lantai 2 Blok C21 no 1 & 2,021-6231-7713,,
Toko Listrik Amsal,Petamburan 1,,,
Toko Luna,Jl.Hayam Wuruk No 127,021- 629-2869,,
Toko Luna,LTC Glodok Lt 2 C25 no 5-6,021-6292869,,
Toko Material,Cimone Tanggerang,,,
Toko Mulia Teknik,,021 659 7848,,-
Toko Mulia Teknik,Glodok Jaya Lt dasar Blok B no 8,021 659 7848,,-
Toko Obat Sentosa Jaya,LTC Lt.1 Blok.C3 No.9,021 9828 2121,Rita Widjaja,
Toko Paragon,Cikupa,,,
Toko Roda Jaya,LTC Glodok Lt. GF 2 Blk.A2/No.33,021 7076 2846,,
Toko Sentra Arloji,Blok M Square Lt UG,0812 9383 1531,,
Toko Sepatu Edy,,0857 1800 6303,,
Toko Sepatu Hongkong,Proyek Senen blok.2 Lt.2 No.9-12,021 422 0791,Bp. Gandy,
Toko Sinar Makmur Jaya,Pasar pagi mangga Dua,0857-11227718,,
Toko Sinar Makmur Jaya,"Pusat grosir pasar pagi mangga dua , Lt. Semi basement D/009",021 288 778 58,Koh Juju,
Toko Sukses,Jl. Pinangsia Raya No.35-37,021 690 2504,,
Toko Sumber Rezeki,Kebon Jeruk No 43 A Depan Surya Motor,021-639-8418,,
Toko Surya,"Ps Senen Blok 3, Lt 1 No 202-203 CKS",085693518207,,
Toko Terpal Plastik Indonesia,Jl. Raya Pluit selatan no 2,021 6620098,,
Toko Terpal Santoso,Jl. Cengkeh 14 Kota,021 6922 202,,
Toko Victoria,"Pertokoan HWI Lindeteves, Lt.dasar B/82-83",021 624 2302,,021 624 2302
Tokopedia,,,,
Tokopedia,,,Enter komputer,
Tokopedia,,,rakitan.com,
Tokopedia/Shopee,,,,
Top Clean,Jl. Citayam Raya No 87 - Depok,0812 9964 6532,,
Tri Jaya Motor,PS Asem reges jl taman sari Lt 1 blok A ACT 199,,,
Trijaya Motor,,021 333 99226,,-
Trijaya Motor,,021 97317713,,-
Trijaya Motor,,0857 7075 1597,,-
Trijaya Motor,Jl. Kebon jeruk III no  34,021 333 99226,Bp. Dede,-
Tukang,,,,
Tukang Tambal Ban,,,,
Tunas Kencana Motor,Jl. Raya Serang Km. 12.5,08561882673,,
Tunas Optimal Pratama,Komp.Taman Ratu Indah G/5 Duri - Kepa - Kebon Jeruk JakBar,021 565 1856,Bp. Rudy,021 5694 3436
Tunas Tekhnik,LTC Glodok GF 2 Blok B6,,,
UD. Baja Teknik,,021 639 9665,,
UD. Baja Teknik,LTC GF 2 Blok C31/No.6,021 626 9029,,
UD. Cahaya Mas,Jl. Pinangsia Raya 16 E,021 626 2120,,021 692 7587
UD. Sepeda,Jl. Mangga Besar,,,
Unicorn Jaya United,Jl. Sosial No.4 Daan Mogot - Jakarta Barat,021 5600 280,Miss Etty,
Unicorn Jaya United,Jl. Sosial No.4 Daan Mogot - Jakarta Barat,021 5600 280,Miss Mariska PS,
Union Co,,021 720 3886,,
Union Motor,,,,
Universal Electonic  part,GLodok,,,
Usaha Baru,Gedung glodok baru harco D/231,021 625 2878,,
Usaha Jaya,LTC Glodok lt.1 Blok B11 No.5,021 629 3851,,
Usaha Jaya,LTC Glodok Lt.1 Blok.B11/No.5,021 629 3851,,
Usaha Jaya,"LTC Lt.1, blok. B11/5",021 629 3851,,
Utama Anni Electronic,pertokoan glodok makmur 28E,,,
Utama Auvi Electronic,Pertokoan glodok makmur 28E,021 626 1225,,
Vendor,,,,
Vernon,LTC Lt 1 Blok C 23 no 6,0812 1020 7132,,
Vernon,Ltc lt 1 blok C 23 no6,95061055,,
Victoria Indonesia,LTC Lt2 Blok B 12 No 3,021 2607 1358,Henny,
Victoria Jaya,LTC Gf 1 blok B 11 no 2,62201008,,62308769
VIP Luxuries Leather,Tomang Jakarta Barat,,,
Viro Electronic,Plaza Kenari Mas,,,
Vista Jaya,,021 6299 174,Ibu Nurul,-
VISTA-JAYA,,021 6299 174,Ibu Nurul,021 626 5818
Voila Florist,Surabaya,+62 813-3200-7367,,
Wahana Gunung Sahari,Jl. Gunung Sahari Raya,021 626 3257,,
Wawan Jaya Tehnik,,085219158776,Andi,
Wellen Print,Jl Raya Ps Minggu N0 49 Kav 2-3 Jakarta Selatan,021 7987800,,
Wijaya Makmur,LTC GLodok,,,
Wijaya Makmur,Ps Asemka,,,
Wijaya Makmur,Ps Pagi Asemka,,,
WIN Motorcyle Parts,,,,
Wira Makmur,,021 634 0443,,
Wita Sakti,"Pertokoan Glodok Jaya, Lantai dasar A13",021 625 9120,,
xxxxxxx,,,,
Yamaha Motor,,,,
young brother,komplek harco glodok,021 612 0585,,
Zema Packaging,Jl Pahlawan Revolusi No 7 Pondok Bambu,0813 8073 6016,Bp. Chaerudin,
